ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,CityState,,,,
01244,38340,MILL RIVER,MA,"MILL RIVER, MA",,,,
01245,38340,MONTEREY,MA,"MONTEREY, MA",,,,
01247,24640,NORTH ADAMS,MA,"NORTH ADAMS, MA",,,,
01247,38340,NORTH ADAMS,MA,"NORTH ADAMS, MA",,,,
01252,38340,NORTH EGREMONT,MA,"NORTH EGREMONT, MA",,,,
01253,38340,OTIS,MA,"OTIS, MA",,,,
01254,38340,RICHMOND,MA,"RICHMOND, MA",,,,
01255,38340,SANDISFIELD,MA,"SANDISFIELD, MA",,,,
01256,38340,SAVOY,MA,"SAVOY, MA",,,,
01257,38340,SHEFFIELD,MA,"SHEFFIELD, MA",,,,
01258,38340,SOUTH EGREMONT,MA,"SOUTH EGREMONT, MA",,,,
01259,38340,SOUTHFIELD,MA,"SOUTHFIELD, MA",,,,
01260,38340,SOUTH LEE,MA,"SOUTH LEE, MA",,,,
01262,38340,STOCKBRIDGE,MA,"STOCKBRIDGE, MA",,,,
01263,38340,STOCKBRIDGE,MA,"STOCKBRIDGE, MA",,,,
01264,38340,TYRINGHAM,MA,"TYRINGHAM, MA",,,,
01266,38340,WEST STOCKBRIDGE,MA,"WEST STOCKBRIDGE, MA",,,,
01267,38340,WILLIAMSTOWN,MA,"WILLIAMSTOWN, MA",,,,
01270,38340,WINDSOR,MA,"WINDSOR, MA",,,,
01301,24640,GREENFIELD,MA,"GREENFIELD, MA",,,,
01302,24640,GREENFIELD,MA,"GREENFIELD, MA",,,,
01330,11200,ASHFIELD,MA,"ASHFIELD, MA",,,,
01330,24640,ASHFIELD,MA,"ASHFIELD, MA",,,,
01331,49340,ATHOL,MA,"ATHOL, MA",,,,
01331,24640,ATHOL,MA,"ATHOL, MA",,,,
01337,24640,BERNARDSTON,MA,"BERNARDSTON, MA",,,,
01338,24640,BUCKLAND,MA,"BUCKLAND, MA",,,,
01339,24640,CHARLEMONT,MA,"CHARLEMONT, MA",,,,
01340,24640,COLRAIN,MA,"COLRAIN, MA",,,,
01341,24640,CONWAY,MA,"CONWAY, MA",,,,
01342,24640,DEERFIELD,MA,"DEERFIELD, MA",,,,
01343,38340,DRURY,MA,"DRURY, MA",,,,
01343,24640,DRURY,MA,"DRURY, MA",,,,
01344,24640,ERVING,MA,"ERVING, MA",,,,
01346,24640,HEATH,MA,"HEATH, MA",,,,
01347,24640,LAKE PLEASANT,MA,"LAKE PLEASANT, MA",,,,
01349,24640,MILLERS FALLS,MA,"MILLERS FALLS, MA",,,,
01350,24640,MONROE BRIDGE,MA,"MONROE BRIDGE, MA",,,,
01351,24640,MONTAGUE,MA,"MONTAGUE, MA",,,,
01354,24640,GILL,MA,"GILL, MA",,,,
01355,24640,NEW SALEM,MA,"NEW SALEM, MA",,,,
01360,24640,NORTHFIELD,MA,"NORTHFIELD, MA",,,,
01364,24640,ORANGE,MA,"ORANGE, MA",,,,
01364,49340,ORANGE,MA,"ORANGE, MA",,,,
01366,49340,PETERSHAM,MA,"PETERSHAM, MA",,,,
01367,24640,ROWE,MA,"ROWE, MA",,,,
01367,38340,ROWE,MA,"ROWE, MA",,,,
01368,49340,ROYALSTON,MA,"ROYALSTON, MA",,,,
01370,24640,SHELBURNE FALLS,MA,"SHELBURNE FALLS, MA",,,,
01373,24640,SOUTH DEERFIELD,MA,"SOUTH DEERFIELD, MA",,,,
01375,24640,SUNDERLAND,MA,"SUNDERLAND, MA",,,,
01376,24640,TURNERS FALLS,MA,"TURNERS FALLS, MA",,,,
01378,24640,WARWICK,MA,"WARWICK, MA",,,,
01379,24640,WENDELL,MA,"WENDELL, MA",,,,
01380,24640,WENDELL DEPOT,MA,"WENDELL DEPOT, MA",,,,
01420,49340,FITCHBURG,MA,"FITCHBURG, MA",,,,
01430,49340,ASHBURNHAM,MA,"ASHBURNHAM, MA",,,,
01431,49340,ASHBY,MA,"ASHBY, MA",,,,
01431,14460,ASHBY,MA,"ASHBY, MA",,,,
01432,14460,AYER,MA,"AYER, MA",,,,
01434,14460,DEVENS,MA,"DEVENS, MA",,,,
01434,49340,DEVENS,MA,"DEVENS, MA",,,,
01436,49340,BALDWINVILLE,MA,"BALDWINVILLE, MA",,,,
01438,49340,EAST TEMPLETON,MA,"EAST TEMPLETON, MA",,,,
01440,49340,GARDNER,MA,"GARDNER, MA",,,,
01441,49340,WESTMINSTER,MA,"WESTMINSTER, MA",,,,
01450,14460,GROTON,MA,"GROTON, MA",,,,
01451,49340,HARVARD,MA,"HARVARD, MA",,,,
01451,14460,HARVARD,MA,"HARVARD, MA",,,,
01452,49340,HUBBARDSTON,MA,"HUBBARDSTON, MA",,,,
01453,49340,LEOMINSTER,MA,"LEOMINSTER, MA",,,,
01460,14460,LITTLETON,MA,"LITTLETON, MA",,,,
01462,14460,LUNENBURG,MA,"LUNENBURG, MA",,,,
01462,49340,LUNENBURG,MA,"LUNENBURG, MA",,,,
01463,14460,PEPPERELL,MA,"PEPPERELL, MA",,,,
01464,14460,SHIRLEY,MA,"SHIRLEY, MA",,,,
01467,49340,STILL RIVER,MA,"STILL RIVER, MA",,,,
01468,49340,TEMPLETON,MA,"TEMPLETON, MA",,,,
01469,14460,TOWNSEND,MA,"TOWNSEND, MA",,,,
01472,14460,WEST GROTON,MA,"WEST GROTON, MA",,,,
01473,49340,WESTMINSTER,MA,"WESTMINSTER, MA",,,,
01474,14460,WEST TOWNSEND,MA,"WEST TOWNSEND, MA",,,,
01475,49340,WINCHENDON,MA,"WINCHENDON, MA",,,,
01501,49340,AUBURN,MA,"AUBURN, MA",,,,
01503,49340,BERLIN,MA,"BERLIN, MA",,,,
01503,14460,BERLIN,MA,"BERLIN, MA",,,,
01504,14460,BLACKSTONE,MA,"BLACKSTONE, MA",,,,
01504,49340,BLACKSTONE,MA,"BLACKSTONE, MA",,,,
01505,49340,BOYLSTON,MA,"BOYLSTON, MA",,,,
01506,49340,BROOKFIELD,MA,"BROOKFIELD, MA",,,,
01507,49340,CHARLTON,MA,"CHARLTON, MA",,,,
01508,49340,CHARLTON CITY,MA,"CHARLTON CITY, MA",,,,
01509,49340,CHARLTON DEPOT,MA,"CHARLTON DEPOT, MA",,,,
01510,49340,CLINTON,MA,"CLINTON, MA",,,,
01515,49340,EAST BROOKFIELD,MA,"EAST BROOKFIELD, MA",,,,
01516,49340,DOUGLAS,MA,"DOUGLAS, MA",,,,
01518,49340,FISKDALE,MA,"FISKDALE, MA",,,,
